IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
"2,4-Toluenediamine",Toxic Organics,Toxic Organics
"2,5-Toluenediamine",Toxic Organics,Toxic Organics
"Gasoline, regular",Other,Fuel
"Flow, augmented water",Flow,Flow
"Flow, well water",Flow,Flow
Paper production,Uncategorized,Uncategorized
Fine bleached kraft,Uncategorized,Uncategorized
Diisopropyl ether,Toxic Organics,Toxic Organics
"Nitrogen, nitrite total [as NO2]",Nutrients,Nitrogen
Iodide [as I],Uncategorized,Uncategorized
"Iodine, residual",Uncategorized,Uncategorized
"1,3-Dichloropropene",Toxic Organics,Toxic Organics
Resorcinol,Uncategorized,Uncategorized
Hydroquinone,Uncategorized,Uncategorized
"2,3-Dichloropropylene",Toxic Organics,Toxic Organics
"1,3-Dichloropropane",Toxic Organics,Toxic Organics
5-Methyl-2-hexanone,Toxic Organics,Toxic Organics
"n-Octane, total",Toxic Organics,Toxic Organics
n-Butyl acetate,Toxic Organics,Toxic Organics
Hexanoic acid,Toxic Organics,Toxic Organics
Isobutyl acetate,Toxic Organics,Toxic Organics
Indene,Toxic Organics,Toxic Organics
"1,2,4-Trimethylbenzene",Toxic Organics,Toxic Organics
Isopropylbenzene,Toxic Organics,Toxic Organics
n-Propylbenzene,Toxic Organics,Toxic Organics
"1,3,5-Trimethylbenzene",Toxic Organics,Toxic Organics
N-Ethylbenzenamine,Toxic Organics,Toxic Organics
Dimethylaniline,Toxic Organics,Toxic Organics
"3,4-Dimethylphenol",Toxic Organics,Toxic Organics
"Benzoic acids, total",Toxic Organics,Toxic Organics
Orthochlorotoluene,Toxic Organics,Toxic Organics
"1,4-Dichlorobutane",Toxic Organics,Toxic Organics
2-Chloroaniline,Toxic Organics,Toxic Organics
3-Chlorophenol,Toxic Organics,Toxic Organics
4-Chlorophenol,Toxic Organics,Toxic Organics
Quinoline,Uncategorized,Uncategorized
"Dibutylamine, whole water",Toxic Organics,Toxic Organics
2-Ethyl-1-hexanol,Toxic Organics,Toxic Organics
1-Methyl-2-isopropylbenzene,Toxic Organics,Toxic Organics
"1,2,4,5-Tetramethylbenzene",Toxic Organics,Toxic Organics
n-Butylbenzene,Toxic Organics,Toxic Organics
Sec-butylbenzene,Toxic Organics,Toxic Organics
tert-Butylbenzene,Toxic Organics,Toxic Organics
2-Phenoxyethanol,Toxic Organics,Toxic Organics
1-Methylnaphthalene,Toxic Organics,Toxic Organics
2-Methyl-4-chlorophenol,Toxic Organics,Toxic Organics
n-Decane,Toxic Organics,Toxic Organics
"1,2,3-Trichloropropane",Toxic Organics,Toxic Organics
Chloral,Uncategorized,Uncategorized
Phthalic anhydride,Uncategorized,Uncategorized
Benzenesulphonic acid,Toxic Organics,Toxic Organics
"2,3-Dichloroaniline",Toxic Organics,Toxic Organics
"2,5-Dichlorophenol",Toxic Organics,Toxic Organics
"2,6-Dichlorophenol",Toxic Organics,Toxic Organics
Hexamethylbenzene,Toxic Organics,Toxic Organics
Safrole,Uncategorized,Uncategorized
"1,1,1,2-Tetrachloroethane",Toxic Organics,Toxic Organics
Phthalic acid,pH,pH
Carbazole,Toxic Organics,Toxic Organics
Diphenylamine,Uncategorized,Uncategorized
p-Aminobiphenyl,Uncategorized,Uncategorized
n-Dodecane,Toxic Organics,Toxic Organics
"1,2,3-Trichlorobenzene",Toxic Organics,Toxic Organics
Azobenzene,Toxic Organics,Toxic Organics
Freon 113,Uncategorized,Uncategorized
Ethylene dibromide,Toxic Organics,Toxic Organics
"1,1,2-Trichloro-1,2,2-trifluoroethane",Toxic Organics,Toxic Organics
"1,2-Bis[2-chloroethoxy] ethane",Toxic Organics,Toxic Organics
Citric acid,pH,pH
Dimethyl terephthalate,Toxic Organics,Toxic Organics
Trichlorotoluene,Toxic Organics,Toxic Organics
n-Tetradecane,Toxic Organics,Toxic Organics
"Carbaryl, total",Toxic Organics,Toxic Organics
"1,2,4,5-Tetrachlorobenzene",Toxic Organics,Toxic Organics
Hexadecane,Toxic Organics,Toxic Organics
Bisphenol-A [.alpha.],Other,Other
"2,3,4,6-Tetrachlorophenol",Toxic Organics,Toxic Organics
Dibromodichloromethane,Toxic Organics,Toxic Organics
n-Heptadecane,Toxic Organics,Toxic Organics
Pentachlorobenzene,Toxic Organics,Toxic Organics
n-Octadecane,Toxic Organics,Toxic Organics
Tri-n-butyl phosphate,Toxic Organics,Toxic Organics
Linoleic acid,pH,pH
n-Eicosane,Toxic Organics,Toxic Organics
Oleic acid,pH,pH
"Hexachlorocyclohexane, total",Toxic Organics,Toxic Organics
Abietic acid,pH,pH
Docosane,Nutrients,Dissolved Oxygen
Butachlor,Uncategorized,Uncategorized
Triphenyl phosphate,Nutrients,Phosphorus
"Methanol, total",Toxic Organics,Toxic Organics
Octachlorocyclopentene,Toxic Organics,Toxic Organics
n-Hexacosane,Toxic Organics,Toxic Organics
"DCBP, total",Uncategorized,Uncategorized
Guanidine nitrate,Nutrients,Nitrogen
"N,N'-Diethylcarbanilide",Toxic Organics,Toxic Organics
Nitroguanidine,Uncategorized,Uncategorized
"Suspended solids, total discharge",Solids,Suspended Solids
"Suspended solids, total annual",Solids,Suspended Solids
"Oil and Grease, calculated limit",Other,Fuel
Precipitation volume,Uncategorized,Uncategorized
Cresol,Toxic Organics,Toxic Organics
"Manure removed, gallons",Uncategorized,Uncategorized
Tetramethylbenzene,Toxic Organics,Toxic Organics
Time each pumping rate utilized,Uncategorized,Uncategorized
Quarternary ammonium compounds,Nutrients,Nitrogen
"3,4-Dichlorophenol",Toxic Organics,Toxic Organics
Flusilazole,Toxic Organics,Toxic Organics
Polychlorinated biphenyls [PCB] pg/L,Inorganics,Disinfectants
"Produced water, free oil",Other,Fuel
Trichlorosyringol,Uncategorized,Uncategorized
Tetrachlorocatechol,Toxic Organics,Toxic Organics
sec-Butyldiphenylmethane,Toxic Organics,Toxic Organics
"Isopropyl-1,1-diphenylethane",Toxic Organics,Toxic Organics
"Isopropyl-1,2-diphenylethane",Toxic Organics,Toxic Organics
"sec-Butyl-1,2-diphenylethane",Toxic Organics,Toxic Organics
Adsorbable organic halides [AOX],Uncategorized,Uncategorized
"sec-Butyl-1,1-diphenylethane",Toxic Organics,Toxic Organics
Certified operator name,Uncategorized,Uncategorized
Certified operator number,Uncategorized,Uncategorized
Certified operator class,Uncategorized,Uncategorized
Certified operator certification exp.,pH,pH
Diethylhydroxylamine,Toxic Organics,Toxic Organics
n-Heptane,Toxic Organics,Toxic Organics
Alpha activity,Other,Other
Alpha gross radioactivity,Other,Other
Radiation-gross alpha tot dissolved,Other,Other
Radiation-gross alpha tot suspended,Other,Other
"Alpha, gross particle activity",Other,Other
"BOD, carbonaceous [5 day, 20 C]",Organics,COD
"BOD, carbonaceous [20 day, 20 C]",Organics,COD
"BOD, carbonaceous [40 day, 20 C]",Organics,COD
"BOD, carb-5 day, 20 deg C, percent removal",Organics,COD
"Dechlorination reagent, gen",Uncategorized,Uncategorized
Dilution factor,Flow,Flow
Chemical oxygen demand [COD],Organics,COD
"Sulfur, total",Uncategorized,Uncategorized
"Color, concentration at wavelength",Color and Turbidity,Color
Chem. oxygen demand [COD] % removal,Organics,COD
"Chemical oxygen demand, soluble",Organics,COD
"BOD, carbonaceous [5 day, 5 C]",Organics,COD
"BOD, carbonaceous [25-day, 20 C]",Organics,COD
"BOD, carbonaceous [28 day, 20 C]",Organics,COD
Non-nitrogenous BOD,Toxic Organics,Toxic Organics
CBOD5+NH3-N,Toxic Organics,Toxic Organics
"Carbonaceous BOD, 5 day, 20 deg C filtrd",Organics,COD
"1,1,2,2-Tetrachloroethylene",Toxic Organics,Toxic Organics
"Chromium, trivalent dissolved, as Cr",Metals,Chromium
"BOD, carbonaceous, percent removal",Organics,COD
Ferrochrome lignosulfonated frwtr mud,Uncategorized,Uncategorized
Lightly treated lignosulfonated mud,Uncategorized,Uncategorized
Sludge waste from secondary clarifiers,Uncategorized,Uncategorized
Spray irrigation,Uncategorized,Uncategorized
Bypass valve,Uncategorized,Uncategorized
Bypass of treatment,Uncategorized,Uncategorized
"Recirculation, percent of plant flow",Flow,Flow
"Solids, volatile suspended, % removal",Solids,Suspended Solids
"BOD, 5-day, percent removal",Organics,COD
"Solids, suspended percent removal",Solids,Suspended Solids
"Phosphorus, total percent removal",Nutrients,Phosphorus
"Residue, volatile nonfilterable",Uncategorized,Uncategorized
"Sludge return rate, % of plant flow",Flow,Flow
Caustic in drilling fluids,Other,Other
"Temperature, summer [deg. C]",Temperature,Temperature
"Temperature, winter [deg. C]",Temperature,Temperature
"Temperature, summer [deg. F]",Temperature,Temperature
"Temperature, winter [deg. F]",Temperature,Temperature
Temperature rate of change deg. F/hour,Temperature,Temperature
Flashpoint temp of oil/solv ASTM 93-77,Other,Fuel
"Algicides, general",Toxic Organics,Toxic Organics
LF Pass/Fail Flth 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LF Pass/Fail Flth 7Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
".alpha.-Endosulfan, in waste",Other,Other
Static Renewal 96Hr Acute Gasterost aculeatus,Other,Fuel
Static 96Hr Acute Citharichys sitigmae,Aquatic Toxicity,Aquatic Toxicity
Static Renewal 48Hr Acute Ceriodaphnia Dubia,Toxic Organics,Toxic Organics
Static Renewal 48Hr Acute Daphnia Magna,Toxic Organics,Toxic Organics
Static Renewal 96Hr Acute Ceriodaphnia Dubia,Toxic Organics,Toxic Organics
Static Renewal 96Hr Acute Pimphales Promelas,Toxic Organics,Toxic Organics
Static Renewal 96Hr Acute Oncorhynchus Mykiss,Toxic Organics,Toxic Organics
Static Renewal 96Hr Acute Menidia Beryllina,Toxic Organics,Toxic Organics
Static Renewal 96Hr Acute Atherinops Affinis,Toxic Organics,Toxic Organics
Flth 96Hr Acute Gasterost Aculeatus,Other,Fuel
"Toxicity, Chronic",Aquatic Toxicity,Aquatic Toxicity
Static 4Day Chronic Selen. Capricornutum,Aquatic Toxicity,Aquatic Toxicity
Static 4 Day Chronic Raphidocelis subcapitata,Aquatic Toxicity,Aquatic Toxicity
Static 7Day Chronic Ceriodaphnia Dubia,Aquatic Toxicity,Aquatic Toxicity
Static 7Day Chronic Pimephales Promelas,Aquatic Toxicity,Aquatic Toxicity
Static 7Day Chronic Menidia beryllina,Aquatic Toxicity,Aquatic Toxicity
Static 1Hr Chronic Strongyl. Purpuratus,Aquatic Toxicity,Aquatic Toxicity
p-Dimethylaminoazobenzene,Toxic Organics,Toxic Organics
Phenacetin,Metals,Tin
Ethyl methanesulfonate,Toxic Organics,Toxic Organics
"Aniline, dry weight",Toxic Organics,Toxic Organics
"Ethanol, dry weight",Uncategorized,Uncategorized
Methyl methanesulfonate,Toxic Organics,Toxic Organics
"Acetone, dry weight",Toxic Organics,Toxic Organics
"Methoxychlor, dry weight",Toxic Organics,Toxic Organics
"Bromoethane, dry weight",Uncategorized,Uncategorized
"Carbon disulfide, dry weight",Solids,Dissolved Solids
"Bromodichloromethane, dry weight",Toxic Organics,Toxic Organics
"Trichlorofluoromethane, dry weight",Toxic Organics,Toxic Organics
"Styrene, dry weight",Toxic Organics,Toxic Organics
"Benzyl alcohol, dry weight",Toxic Organics,Toxic Organics
"1,2-Dibromomethane",Toxic Organics,Toxic Organics
"Vinyl acetate, dry weight",Toxic Organics,Toxic Organics
"Chloromethane, dry weight",Toxic Organics,Toxic Organics
"Pyridine, dry weight",Toxic Organics,Toxic Organics
"Dibenzofuran, dry weight",Toxic Organics,Toxic Organics
"Benzo[b]fluoranthene, dry weight",Toxic Organics,Toxic Organics
"Xylenes [total], dry weight",Toxic Organics,Toxic Organics
"cis-1,3-Dichloropropene, dry weight",Toxic Organics,Toxic Organics
"trans-1,3-Dichloropropene, dry weight",Toxic Organics,Toxic Organics
"Endrin ketone, dry weight",Toxic Organics,Toxic Organics
2-Butanone peroxide,Toxic Organics,Toxic Organics
"Benzenamine, 4-chloro-",Toxic Organics,Toxic Organics
Methyl hydrazine,Toxic Organics,Toxic Organics
Nickel carbonyl,Metals,Nickel
N-Nitrosodi-n-butylamine,Toxic Organics,Toxic Organics
N-Nitrosomorpholine,Toxic Organics,Toxic Organics
1-Nitrosopiperidine,Toxic Organics,Toxic Organics
"Phosphorothioic acid, O,O,O-triethyl ester",Toxic Organics,Toxic Organics
"1,3,5-Trinitrobenzene",Toxic Organics,Toxic Organics
"Flow, restrictive",Flow,Flow
Population served,Uncategorized,Uncategorized
Inert plastic spheres in drill fluids,Uncategorized,Uncategorized
Nutshells in drilling fluids,Other,Other
Power plant load in megawatts,Uncategorized,Uncategorized
Torq trim it in drilling fluids,Other,Other
"Iron, total [as Fe]",Metals,Iron
"Drill cutting, [oil rigs]",Other,Fuel
Condenser cooling water temp. increase,Temperature,Temperature
Calculated limit,Uncategorized,Uncategorized
Applicable temperature limitation,Temperature,Temperature
"Phenols, chlorinated",Inorganics,Disinfectants
"Flow, pump out",Flow,Flow
"Bromochloroethane, in water",Uncategorized,Uncategorized
"Chlorobenzoic acid, in water",Toxic Organics,Toxic Organics
Chloromethylbenzene,Toxic Organics,Toxic Organics
Chlorotoluene,Toxic Organics,Toxic Organics
"Dichlorophenol, in water, ug/L",Toxic Organics,Toxic Organics
Dichlorotoluene,Toxic Organics,Toxic Organics
Dichlorotrifluoroethane,Uncategorized,Uncategorized
Diethylmethylbenzenesulfonamide,Toxic Organics,Toxic Organics
LC50 Static 96Hr Acute D. Magna,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute D. Pulex,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Menidia,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 96Hr Acute Cyprinella Leedsi,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 4Day Chronic Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 7Day Chronic Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 1Hr Chronic Ceriodaphnia Dubia,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 1Hr Chronic Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 1Hr Chronic Menidia Menidia,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 1Hr Chronic Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 1Hr Chronic Lepomis Macrochiru,Aquatic Toxicity,Aquatic Toxicity
LC50 Static 1Hr Chronic Cyprinella Leedsi,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 48Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC50 Static Renewal 48Hr Acute Lemna minor,Toxic Organics,Toxic Organics
LC50 Static Renewal 48Hr Acute Champia parvula,Toxic Organics,Toxic Organics
LC50 Static Renewal 48Hr Acute Arbacia punctulata,Toxic Organics,Toxic Organics
LC50 Static Renewal 48Hr Acute Ceriodaphnia dubia,Toxic Organics,Toxic Organics
LC50 Static Renewal 48Hr Acute Daphnia magna,Toxic Organics,Toxic Organics
LC50 Static Renewal 48Hr Acute Daphnia pulex,Toxic Organics,Toxic Organics
LC50 Statre 48Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC50 Static Renewal 48Hr Acupenaeus vannamei,Toxic Organics,Toxic Organics
LC50 Static Renewal 48Hr Acute Cyprinodon variegatus,Toxic Organics,Toxic Organics
LC50 Statre 48Hr Acute Menidia,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 48Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 48Hr Acute Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
LC50 Static Renewal 48Hr Acute Lepomis macrochirus,Toxic Organics,Toxic Organics
LC50 Statre 96Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Champia,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Arbacia,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute D. Magna,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute D. Pulex,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Pandulas Hypsinotus,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Pandulas Borealis,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Cancer Magister,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Menidia,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acute Orcorhynchus Gorbus,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acucyprinella Leedsi,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 96Hr Acumenidia beryllina,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 4Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Statre 7Day Chrceriodaphnia,Uncategorized,Uncategorized
LC50 Statre 7Day Chronic Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Champia,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Arbacia,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute D. Magna,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute D. Pulex,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Menidia,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Pimephales,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 48Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 96Hr Acute Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 96Hracu L. Minor,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 96Hr Acute Champia,Aquatic Toxicity,Aquatic Toxicity
LC50 Flth 96Hr Acute Arbacia,Aquatic Toxicity,Aquatic Toxicity
Odor [Threshold Number],Other,Other
Odor [threshold no. at 60 deg. C],Other,Other
Odor [threshold no. at 40 deg cent],Other,Other
Redox [oxidation reduction potential],Nutrients,Dissolved Oxygen
"Flow, minimum flow range",Flow,Flow
"Flow, maximum flow range",Flow,Flow
Conductivity,Solids,Dissolved Solids
Specific conductance,Solids,Dissolved Solids
Ratio fecal coliform & streptococci,Toxic Organics,Toxic Organics
Dry days preceding precipitation event,Uncategorized,Uncategorized
Rainfall duration,Other,Other
Temperature of sample upon arrival at lab,Temperature,Temperature
Hydrogen peroxide,Uncategorized,Uncategorized
"BOD, 5-day, 20 deg. C per production",Organics,COD
"Solids, total susp per production",Solids,Suspended Solids
Hydrogen cyanide,Inorganics,Toxic Inorganics
Methyl mercaptan,Toxic Organics,Toxic Organics
Combined metals sum,Metals,Other Metals
Total production - mass,Uncategorized,Uncategorized
Chem. oxygen demand per production,Uncategorized,Uncategorized
"Iron, total per production",Metals,Iron
"Herbicides, total",Uncategorized,Uncategorized
"Alpha emitting radium isotopes, dissolved",Other,Other
"Solids, total susp. per cfs of streamflw",Solids,Suspended Solids
"Nitrogen, ammonia per cfs of streamflow",Flow,Flow
Oil and grease per production,Other,Fuel
Oil and grease per cfs of streamflow,Other,Fuel
Sulfate [as S],Solids,Dissolved Solids
Isooctyl silvex,Uncategorized,Uncategorized
"Isooctyl 2,4,5-T",Toxic Organics,Toxic Organics
"Solids, total volatile, percent removal",Solids,Suspended Solids
"Copper, total per batch",Metals,Copper
"Iron, total per batch",Metals,Iron
"Nickel, total per batch",Metals,Nickel
"Silver, total per batch",Metals,Silver
"Solids, total susp. per batch",Solids,Suspended Solids
"Flow, gallons/batch",Flow,Flow
Sludge volume index [SVI],Uncategorized,Uncategorized
"Chloride, percent removal",Solids,Dissolved Solids
"Solids, dry, discharge to sol. handling sys.",Solids,Suspended Solids
"Production, total, megawatts",Uncategorized,Uncategorized
"Solids, dry, incin.as%ofdrysol.fromtrmtplt",Solids,Suspended Solids
"Solids, dry, removed from sol. handling sys.",Solids,Suspended Solids
Septage discharged to treatment fac.,Uncategorized,Uncategorized
"Digester solids content, percent",Solids,Suspended Solids
"Sludge, rate of wasting",Metals,Tin
"Nitrogen, ammonia, percent removal",Nutrients,Nitrogen
"Oxygen demand, ult., percent removal",Uncategorized,Uncategorized
"Oxygen demand, dissolved",Uncategorized,Uncategorized
Nicotine sulfate,Metals,Tin
Waste heat rejection rate,Uncategorized,Uncategorized
Plant capacity fact. percent of capacity,Uncategorized,Uncategorized
"Oxygen demand, ultimate",Uncategorized,Uncategorized
"Chlorine, total residual, duration of violation",Inorganics,Disinfectants
Coagulants added,Toxic Organics,Toxic Organics
"Particulates, floating",Metals,Tin
"Particulates, floating, dry weight",Metals,Tin
"Chlorinated pesticides, total & PCB's",Inorganics,Disinfectants
Radioactivity,Other,Radiation
Bis ether,Toxic Organics,Toxic Organics
Hydrogen ion,Uncategorized,Uncategorized
"Oxygen demand, ult. carbonaceous [UCOD]",Organics,COD
"Precipitation, total defined period/in",Uncategorized,Uncategorized
Plume surface area,Uncategorized,Uncategorized
"Chlorine, total residual [dsg. time]",Inorganics,Disinfectants
"Oxygen, dissolved [DO]",Nutrients,Dissolved Oxygen
"Oxygen, dissolved percent saturation",Uncategorized,Uncategorized
"BOD, 5-day, 20 deg. C",Organics,COD
"BOD, 5-day, dissolved",Organics,COD
"BOD, nitrogen inhib 5-day [20 deg. C]",Organics,COD
"BOD, 5-day",Organics,COD
"BOD, [ult. all stages]",Organics,COD
"BOD, [ult. 1st stage]",Organics,COD
"BOD, [ult. 2nd stage]",Organics,COD
"BOD, 20-day [20 deg. C]",Organics,COD
"BOD, 11-day [20 deg. C]",Toxic Organics,Toxic Organics
"Oxygen demand, chem. [low level] [COD]",Other,Other
"Oxygen demand, chem. [high level] [COD]",Other,Other
"Oxygen demand, chem. [COD], dissolved",Organics,COD
"Oxygen demand, total [tod]",Uncategorized,Uncategorized
"BOD, 35-day [20 deg. C]",Organics,COD
"BOD, filtered, 5 day, 20 deg C",Organics,COD
"Chlorine demand, 1 hr",Inorganics,Disinfectants
Ozone - residual,Uncategorized,Uncategorized
Ozone,Uncategorized,Uncategorized
"Oxygen demand, sum product",Uncategorized,Uncategorized
Dissolved oxygen injected,Nutrients,Dissolved Oxygen
"Oxygen, dissolved, % of time violated",Uncategorized,Uncategorized
"pH, lab",pH,pH
Non-ionic dispersant [Nalsperse 7348],Toxic Organics,Toxic Organics
Carbon dioxide [as CO2],Organics,COD
"Alkalinity, total [as CaCO3]",pH,alkalinity
"Alkalinity, phenolphthaline method",Toxic Organics,Toxic Organics
"Alkalinity, bicarbonate [as CaCO3]",Organics,COD
"Alkalinity, carbonate [as CaCO3]",Organics,COD
"Acidity, total [as CaCO3]",pH,alkalinity
Acidity-mineral methyl orange [as CaCO3],Toxic Organics,Toxic Organics
"Acidity, CO2 phenol [as CaCO3]",Toxic Organics,Toxic Organics
Hydrochloric acid,pH,pH
Bicarbonate ion- [as HCO3],Toxic Organics,Toxic Organics
"Sulphur, total elemental",Uncategorized,Uncategorized
"Phosphorous, total elemental",Uncategorized,Uncategorized
Carbonate ion- [as CO3],Toxic Organics,Toxic Organics
Viscosity,Uncategorized,Uncategorized
Flashpoint temp of oil/solvents ASTM,Other,Fuel
"Magnesium, in bottom deposits",Metals,Magnesium
"Magnesium, dissolved [as Mg]",Metals,Magnesium
"Magnesium, total [as Mg]",Metals,Magnesium
"Sodium, dissolved [as Na]",Solids,Dissolved Solids
Sodium adsorption ratio,Solids,Dissolved Solids
"Sodium, %",Solids,Dissolved Solids
Sodium in bottom dep [as Na] [dry wgt],Solids,Dissolved Solids
"Potassium, dissolved [as K]",Nutrients,Potassium
"Potassium, total [as K]",Nutrients,Potassium
"Potassium, in bottom deposits",Nutrients,Potassium
"Chloride, sludge, total dry weight",Solids,Dissolved Solids
"Sulfate, total [as SO4]",Solids,Dissolved Solids
Noel Static 7Day Chronic Arbacia,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Ceriodaphnia,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic D. Magna,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic D. Pulex,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Mysid. Bahia,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Cyprinodon,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Menidia,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Pimephales,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Salmo Gair.,Aquatic Toxicity,Aquatic Toxicity
Noel Static 7Day Chronic Lepomis Macrochirus,Aquatic Toxicity,Aquatic Toxicity
NOEL Static 1Hr Chronic Lepomis macrochirus,Aquatic Toxicity,Aquatic Toxicity
Noel Static 1Hr Chronic Red Sea Urchin,Aquatic Toxicity,Aquatic Toxicity
Noel Static 1Hr Chronic Purple Sea Urchin,Aquatic Toxicity,Aquatic Toxicity
Noel Static 1Hr Chronic Green Sea Urchin,Aquatic Toxicity,Aquatic Toxicity
Noel Static 1Hr Chronic Dendraster Excent,Aquatic Toxicity,Aquatic Toxicity
Noel Static 48Hr Chronic Champia,Aquatic Toxicity,Aquatic Toxicity
Noel Static 48Hr Chronic Crassostrea Gigas,Other,Fuel
Noel Static 48Hr Chronic Mytilus Edulis,Aquatic Toxicity,Aquatic Toxicity
Noel Static 1Hr Fert. Chronic Arbacia,Aquatic Toxicity,Aquatic Toxicity
NOEL Static Renewal 48Hr Acute Lepomis Macrochirus,Toxic Organics,Toxic Organics
Noel Statre 96Hr Acute Lepomis Macrochi,Aquatic Toxicity,Aquatic Toxicity
Noel Statre 4Day Chronic Selen. Capr.,Aquatic Toxicity,Aquatic Toxicity
Noel Statre 4Day Chronic L. Minor,Aquatic Toxicity,Aquatic Toxicity
Noel Statre 4Day Chronic Champia,Aquatic Toxicity,Aquatic Toxicity
Noel Statre 4Day Chronic Arbacia,Aquatic Toxicity,Aquatic Toxicity
